호선,역코드,역명,게이트그룹,게이트번호,승하차인원,순위,출구그룹,주이용출구번호
1,150,서울역,A,8,"3,934,402",4,A,1
1,150,서울역,A,9,"3,518,126",8,A,1
1,150,서울역,A,10,"3,062,945",15,A,1
1,150,서울역,A,11,"1,453,779",313,A,1
1,150,서울역,A,12,"2,157,347",77,A,1
1,150,서울역,A,13,"4,087,475",1,A,1
1,150,서울역,A,14,"3,881,575",5,A,1
1,150,서울역,A,15,"3,194,155",14,A,1
1,150,서울역,A,16,"2,455,219",42,A,1
1,150,서울역,A,17,"1,317,496",417,A,1
1,150,서울역,A,50,"537,578",1661,A,1
1,150,서울역,B,1,"1,059,561",658,A,1
1,150,서울역,B,2,"901,444",887,A,1
1,150,서울역,B,3,"641,526",1390,A,1
1,150,서울역,B,4,"915,983",858,A,1
1,150,서울역,B,5,"1,483,821",296,A,1
1,150,서울역,B,6,"1,021,651",699,A,1
1,150,서울역,B,7,"872,766",934,A,1
1,150,서울역,C,20,"986,905",748,B,"8, 9"
1,150,서울역,C,21,"657,573",1352,B,"8, 9"
1,150,서울역,C,22,"512,870",1740,B,"8, 9"
1,150,서울역,C,23,"280,204",2472,B,"8, 9"
1,150,서울역,C,24,"185,479",2780,B,"8, 9"
1,150,서울역,C,25,"116,084",2980,B,"8, 9"
1,150,서울역,C,26,"73,300",3105,B,"8, 9"
1,150,서울역,C,27,"398,217",2074,B,"8, 9"
1,150,서울역,C,28,"270,023",2509,B,"8, 9"
1,150,서울역,C,29,"269,836",2510,B,"8, 9"
1,150,서울역,C,30,"525,276",1700,B,"8, 9"
1,150,서울역,C,51,"162,652",2841,B,"8, 9"
1,150,서울역,D,31,"239,749",2611,B,"8, 9"
1,150,서울역,D,32,"343,227",2246,B,"8, 9"
1,150,서울역,D,33,"467,373",1870,B,"8, 9"
1,150,서울역,D,34,"713,201",1221,B,"8, 9"
1,150,서울역,D,35,"723,746",1198,B,"8, 9"
1,150,서울역,D,36,"485,000",1811,B,"8, 9"
1,150,서울역,D,37,"573,894",1568,B,"8, 9"
1,150,서울역,D,38,"765,886",1122,B,"8, 9"
1,150,서울역,D,52,"178,049",2804,B,"8, 9"
1,150,서울역,E,39,"411,247",2036,C,3
1,150,서울역,E,40,"60,445",3144,C,3
1,150,서울역,E,41,"122,969",2956,C,3
1,150,서울역,E,42,"457,593",1897,C,3
1,150,서울역,E,53,"103,954",3016,C,3
1,150,서울역,F,43,"570,517",1578,C,3
1,150,서울역,F,44,"408,998",2047,C,3
1,150,서울역,F,45,"224,273",2664,C,3
1,150,서울역,F,46,"1,360,389",381,C,3
1,150,서울역,F,47,"840,643",978,C,3
1,150,서울역,F,48,"335,831",2280,C,3
1,151,시청,A,20,"1,344,158",396,A,7
1,151,시청,A,21,"974,106",764,A,7
1,151,시청,A,22,"770,715",1113,A,7
1,151,시청,A,23,"529,368",1686,A,7
1,151,시청,A,24,"314,227",2339,A,7
1,151,시청,A,25,"177,430",2805,A,7
1,151,시청,A,26,"158,625",2851,A,7
1,151,시청,A,27,"178,430",2802,A,7
1,151,시청,A,28,"198,201",2745,A,7
1,151,시청,A,29,"208,583",2723,A,7
1,151,시청,A,30,"189,550",2771,A,7
1,151,시청,A,31,"146,912",2882,A,7
1,151,시청,A,32,"72,000",3109,A,7
1,151,시청,A,33,"23,302",3328,A,7
1,151,시청,A,34,"23,081",3331,A,7
1,151,시청,A,35,"39,150",3233,A,7
1,151,시청,A,36,"72,764",3108,A,7
1,151,시청,A,51,"458,753",1891,A,7
1,151,시청,B,2,"41,769",3220,A,7
1,151,시청,B,3,"92,943",3045,A,7
1,151,시청,B,4,"149,852",2872,A,7
1,151,시청,B,5,"178,596",2801,A,7
1,151,시청,B,6,"162,726",2840,A,7
1,151,시청,B,7,"124,283",2951,A,7
1,151,시청,B,8,"110,439",2995,A,7
1,151,시청,B,9,"56,834",3158,A,7
1,151,시청,B,10,"81,472",3074,A,7
1,151,시청,B,11,"152,697",2864,A,7
1,151,시청,B,12,"230,332",2644,A,7
1,151,시청,B,13,"302,397",2395,A,7
1,151,시청,B,14,"382,832",2126,A,7
1,151,시청,B,15,"470,748",1855,A,7
1,151,시청,B,16,"585,838",1541,A,7
1,151,시청,B,17,"607,577",1479,A,7
