station_name,station_code,group,left,top,게이트
서울역,150,A,70,135,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 50"
서울역,150,B,117,157,"1, 2, 3, 4, 5, 6, 7"
서울역,150,C,317,165,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 51"
서울역,150,D,405,178,"31, 32, 33, 34, 35, 36, 37, 38, 52"
서울역,150,E,627,211,"39, 40, 41, 42, 53"
서울역,150,F,648,203,"43, 44, 45, 46, 47, 48"
시청,151,A,354,126,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 51"
시청,151,B,349,202,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
시청,151,C,590,134,"38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49"
시청,151,D,596,202,"51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64"
종각,152,A,165,271,"1, 2, 3, 4, 5, 6, 7, 50"
종각,152,B,321,221,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 52"
종각,152,C,321,293,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 51"
종각,152,D,709,222,"31, 32, 33, 34, 35, 36, 37, 53"
종각,152,E,710,295,"38, 39, 40, 41, 42, 43, 44, 54"
종로3가,153,A,48,202,"1, 2, 3, 4, 5, 6, 50"
종로3가,153,B,267,216,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 51"
종로3가,153,C,488,217,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 52"
종로3가,153,D,714,220,"30, 31, 32, 33, 34, 35, 36, 37, 53"
종로5가,154,A,261,149,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 51"
종로5가,154,B,261,227,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
종로5가,154,C,623,185,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 52"
동대문,155,A,199,168,"1, 2, 3, 4, 5, 6, 7, 8, 50"
동대문,155,B,358,134,"10, 11, 12, 13, 14, 15, 51"
동대문,155,C,362,212,"20, 21, 22, 23, 24, 25, 52"
동대문,155,D,531,145,"30, 31, 32, 33, 34, 35, 53"
동대문,155,E,531,214,"40, 41, 42, 43, 44, 45, 54"
신설동,156,A,259,152,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 50"
신설동,156,B,283,251,"12, 13, 14, 15, 16, 17, 51"
신설동,156,C,535,149,"20, 21, 22, 23, 24, 25, 52"
신설동,156,D,544,246,"30, 31, 32, 33, 34, 35, 53"
제기동,157,A,169,178,"1, 2, 3, 4, 5, 6, 7, 8, 50"
제기동,157,B,495,157,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 51"
청량리(지하),158,A,164,202,"1, 2, 3, 4, 5, 6, 7, 50"
청량리(지하),158,B,424,189,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 51"
청량리(지하),158,C,618,162,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 52"
동묘앞,159,A,,,"1, 2, 3, 4, 5, 6, 7"
동묘앞,159,B,,,"10, 11, 12, 13, 14, 15, 16, 17, 18"
시청,201,A,212,83,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 50"
시청,201,B,432,81,"20, 21, 22, 23, 24, 52"
시청,201,C,628,77,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 51"
을지로입구,202,A,87,164,"6, 7, 8, 9, 10, 54"
을지로입구,202,B,85,242,"1, 2, 3, 4, 5, 53"
을지로입구,202,C,359,166,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 55"
을지로입구,202,D,359,240,"22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 56"
을지로입구,202,E,673,167,"33, 34, 35, 36, 37, 38, 39, 40, 41, 57"
을지로입구,202,F,679,241,"43, 44, 45, 46, 47, 48, 49, 50, 51, 58"
을지로3가,203,A,231,148,"10, 11, 12, 13, 14, 15, 16, 17, 18, 51"
을지로3가,203,B,230,218,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
을지로3가,203,C,534,154,"20, 21, 22, 23, 24, 25, 26, 27, 52"
을지로3가,203,D,532,220,"30, 31, 32, 33, 34, 35, 36, 37, 38, 53"
을지로4가,204,A,194,156,"10, 11, 12, 13, 14, 15, 51"
을지로4가,204,B,196,238,"1, 2, 3, 4, 5, 6, 50"
을지로4가,204,C,547,155,"20, 21, 22, 23, 24, 25, 26, 27, 52"
을지로4가,204,D,549,247,"30, 31, 32, 33, 34, 35, 36, 37, 53"
동대문역사문화공원,205,A,206,196,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 50"
동대문역사문화공원,205,B,524,192,"20, 21, 22, 23, 24, 25, 51"
신당,206,A,148,154,"10, 11, 12, 13, 14, 15, 51"
신당,206,B,159,237,"1, 2, 3, 4, 5, 6, 50"
신당,206,C,481,152,"20, 21, 22, 23, 24, 53"
신당,206,D,478,239,"30, 31, 32, 33, 34, 52"
상왕십리,207,A,235,190,"1, 2, 3, 4, 5, 6, 7, 50"
상왕십리,207,B,456,159,"15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 52"
상왕십리,207,C,457,252,"10, 11, 12, 13, 14, 51"
왕십리,208,A,365,120,"10, 11, 12, 13, 14, 15, 16, 51"
왕십리,208,B,366,205,"1, 2, 3, 4, 5, 6, 7, 50"
왕십리,208,C,549,164,"20, 21, 22, 23, 24, 52"
왕십리,208,D,705,162,"30, 31, 32, 33, 34, 53"
한양대,209,A,237,172,"10, 11, 12, 13, 14, 15, 16, 17, 51"
한양대,209,B,236,246,"1, 2, 3, 4, 5, 6, 7, 8, 50"
한양대,209,C,550,167,"20, 21, 22, 23, 24, 25, 26, 52"
한양대,209,D,553,246,"30, 31, 32, 33, 34, 35, 36, 53"
뚝섬,210,A,231,165,"10, 11, 12, 13, 14, 15, 51"
뚝섬,210,B,233,255,"1, 2, 3, 4, 5, 6, 50"
뚝섬,210,C,319,204,"40, 41, 42, 54"
뚝섬,210,D,532,167,"20, 21, 22, 23, 24, 25, 52"
뚝섬,210,E,527,247,"30, 31, 32, 33, 34, 35, 53"
성수,211,A,89,201,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
성수,211,B,649,206,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 51"
건대입구,212,A,150,200,"1, 2, 3, 4, 5, 6, 7, 8, 9, 30, 31, 50, 52"
